84000,8.5018,0.73,2025-12-31T04:54:34.061868
84500,6.0665,0.77,2025-12-31T05:01:25.971091
85000,7.7408,0.73,2025-12-31T05:07:58.038882
85500,6.8915,0.58,2025-12-31T05:14:49.433406
86000,6.8600,0.62,2025-12-31T05:21:22.408051
86500,7.1677,0.60,2025-12-31T05:28:12.714328
87000,6.8001,0.63,2025-12-31T05:34:45.507588
87500,7.1370,0.76,2025-12-31T05:41:36.363236
88000,6.7097,0.74,2025-12-31T05:48:08.328240
88500,7.1125,0.68,2025-12-31T05:54:59.269501
89000,7.1847,0.68,2025-12-31T06:01:33.488926
89500,6.8140,0.67,2025-12-31T06:08:28.055799
90000,6.8225,0.66,2025-12-31T06:15:02.935417
90500,6.0097,0.71,2025-12-31T06:21:56.570315
91000,6.5460,0.76,2025-12-31T06:28:33.300366
91500,6.7490,0.72,2025-12-31T06:35:27.485451
92000,5.6946,0.75,2025-12-31T06:42:03.115363
92500,6.8795,0.76,2025-12-31T06:48:56.640658
93000,8.1724,0.69,2025-12-31T06:55:32.590300
93500,6.8749,0.64,2025-12-31T07:02:27.369294
94000,7.0938,0.65,2025-12-31T07:09:00.027330
94500,6.9344,0.70,2025-12-31T07:15:51.024597
95000,8.6485,0.76,2025-12-31T07:22:24.056220
95500,7.1706,0.16,2025-12-31T07:29:21.512847
96000,6.4901,0.15,2025-12-31T07:35:54.846812
96500,7.0680,0.64,2025-12-31T07:42:56.696492
97000,7.1254,0.65,2025-12-31T07:49:29.461643
97500,6.5759,0.77,2025-12-31T07:56:20.573784
98000,6.0336,0.83,2025-12-31T08:02:54.037578
98500,7.5733,0.70,2025-12-31T08:09:45.810678
99000,4.7467,0.72,2025-12-31T08:16:20.500684
99500,6.4296,0.78,2025-12-31T08:23:15.828680
100000,6.6417,0.71,2025-12-31T08:29:51.966757
100500,6.5765,0.76,2025-12-31T08:36:45.954109
101000,7.9414,0.75,2025-12-31T08:43:22.216369
101500,7.0146,0.68,2025-12-31T08:50:16.834555
102000,6.7378,0.72,2025-12-31T08:56:52.718754
102500,6.9892,0.13,2025-12-31T09:04:11.738471
103000,7.6085,0.14,2025-12-31T09:11:27.247265
103500,6.6256,0.70,2025-12-31T09:18:38.520975
104000,6.5332,0.73,2025-12-31T09:25:17.900355
104500,8.0185,0.15,2025-12-31T09:32:29.614028
105000,6.8144,0.14,2025-12-31T09:39:12.303156
105500,6.6818,0.29,2025-12-31T09:46:31.965657
106000,6.6437,0.34,2025-12-31T09:53:42.682761
106500,6.8801,0.74,2025-12-31T10:01:06.676556
107000,6.4466,0.83,2025-12-31T10:07:56.236802
107500,6.0064,0.59,2025-12-31T10:15:15.178535
108000,6.3927,0.68,2025-12-31T10:22:10.137608
108500,6.4319,0.27,2025-12-31T10:29:28.193650
109000,6.2959,0.42,2025-12-31T10:36:11.223752
109500,6.6135,0.72,2025-12-31T10:43:23.279014
110000,6.1386,0.71,2025-12-31T10:50:13.751250
110500,6.4810,0.73,2025-12-31T10:57:29.595897
111000,7.4170,0.69,2025-12-31T11:04:14.953638
111500,6.5203,0.65,2025-12-31T11:11:27.339963
112000,6.8622,0.37,2025-12-31T11:18:22.946747
112500,7.1840,0.38,2025-12-31T11:25:50.313195
113000,7.6090,0.21,2025-12-31T11:32:57.854676
113500,6.9549,0.72,2025-12-31T11:40:06.836951
114000,6.5489,0.80,2025-12-31T11:46:57.712540
114500,7.7343,0.79,2025-12-31T11:54:07.770108
115000,6.9943,0.75,2025-12-31T12:00:49.558844
115500,6.4257,0.67,2025-12-31T12:08:17.888147
116000,7.1023,0.76,2025-12-31T12:15:10.155369
