step,loss,probe_accuracy,timestamp
88500,4.000875,,2026-01-01T11:05:19.369837
89000,4.089757,,2026-01-01T11:07:38.994362
89000,4.089757,0.8000,2026-01-01T11:07:39.231464
89500,4.081173,,2026-01-01T11:10:00.430423
90000,4.112518,,2026-01-01T11:12:19.845588
90000,4.112518,0.8000,2026-01-01T11:12:20.079099
90500,4.086143,,2026-01-01T11:14:41.048250
91000,4.058190,,2026-01-01T11:16:59.824656
91000,4.058190,0.8667,2026-01-01T11:17:00.057163
91500,4.053871,,2026-01-01T11:19:21.240617
92000,4.061622,,2026-01-01T11:21:40.578055
92000,4.061622,0.8667,2026-01-01T11:21:40.811085
92500,4.054671,,2026-01-01T11:24:01.968616
93000,4.079457,,2026-01-01T11:26:21.191882
93000,4.079457,0.8667,2026-01-01T11:26:21.426649
93500,4.078799,,2026-01-01T11:28:42.326332
94000,4.126784,,2026-01-01T11:31:01.796714
94000,4.126784,0.8667,2026-01-01T11:31:02.038740
94500,4.043218,,2026-01-01T11:33:23.082352
95000,4.078952,,2026-01-01T11:35:42.422068
95000,4.078952,0.8000,2026-01-01T11:35:42.654144
95500,4.036487,,2026-01-01T11:38:03.693821
96000,4.079703,,2026-01-01T11:40:23.093602
96000,4.079703,0.8000,2026-01-01T11:40:23.343545
96500,4.089481,,2026-01-01T11:42:44.729706
97000,4.144271,,2026-01-01T11:45:04.473707
97000,4.144271,0.8000,2026-01-01T11:45:04.725715
97500,4.085539,,2026-01-01T11:47:25.903932
98000,4.072607,,2026-01-01T11:49:45.805482
98000,4.072607,0.8667,2026-01-01T11:49:46.060206
98500,4.031236,,2026-01-01T11:52:07.497907
99000,4.064785,,2026-01-01T11:54:27.005470
99000,4.064785,0.9333,2026-01-01T11:54:27.243357
99500,4.013911,,2026-01-01T11:56:48.248031
100000,3.923306,,2026-01-01T11:59:07.927855
100000,3.923306,0.8000,2026-01-01T11:59:08.177435
100500,3.988272,,2026-01-01T12:01:29.285792
101000,3.919585,,2026-01-01T12:03:48.961294
101000,3.919585,0.9333,2026-01-01T12:03:49.210785
101500,3.995036,,2026-01-01T12:06:10.808530
102000,3.990229,,2026-01-01T12:08:30.221047
102000,3.990229,0.8667,2026-01-01T12:08:30.456337
102500,3.922111,,2026-01-01T12:10:50.791230
103000,3.938968,,2026-01-01T12:13:10.186998
103000,3.938968,0.8667,2026-01-01T12:13:10.421064
103500,4.034037,,2026-01-01T12:15:31.407707
104000,4.035020,,2026-01-01T12:17:51.005584
104000,4.035020,0.8667,2026-01-01T12:17:51.240275
104500,3.907341,,2026-01-01T12:20:12.589035
105000,3.983955,,2026-01-01T12:22:33.096256
105000,3.983955,0.8667,2026-01-01T12:22:33.359559
105500,3.924765,,2026-01-01T12:24:56.552328
106000,3.931455,,2026-01-01T12:27:18.160386
106000,3.931455,0.8667,2026-01-01T12:27:18.419590
106500,3.956319,,2026-01-01T12:29:42.023807
107000,3.940428,,2026-01-01T12:32:04.161995
107000,3.940428,0.8667,2026-01-01T12:32:04.419192
107500,3.929805,,2026-01-01T12:34:28.032215
108000,3.946231,,2026-01-01T12:36:50.416342
