step,category,accuracy,mean_log_ratio,correct,total,timestamp
41000,gender,100.00,10.4629,4,4,2025-12-29T22:59:08.757034
41000,number,0.00,-12.6300,0,2,2025-12-29T22:59:08.757050
41000,article_gender,50.00,0.0000,1,2,2025-12-29T22:59:08.757061
41000,collocation,50.00,-0.0000,1,2,2025-12-29T22:59:08.757071
42000,gender,100.00,3.2967,4,4,2025-12-30T00:42:21.740246
42000,number,0.00,-5.0464,0,2,2025-12-30T00:42:21.740264
42000,article_gender,50.00,0.0000,1,2,2025-12-30T00:42:21.740276
42000,collocation,50.00,0.0000,1,2,2025-12-30T00:42:21.740286
43000,gender,100.00,8.0225,4,4,2025-12-30T02:22:27.652823
43000,number,0.00,-10.0358,0,2,2025-12-30T02:22:27.652841
43000,article_gender,50.00,0.0000,1,2,2025-12-30T02:22:27.652855
43000,collocation,50.00,0.0000,1,2,2025-12-30T02:22:27.652867
44000,gender,100.00,0.0086,4,4,2025-12-30T03:59:16.894432
44000,number,0.00,-0.0077,0,2,2025-12-30T03:59:16.894450
44000,article_gender,50.00,0.0000,1,2,2025-12-30T03:59:16.894462
44000,collocation,50.00,0.0000,1,2,2025-12-30T03:59:16.894474
45000,gender,100.00,1.5853,4,4,2025-12-30T05:37:59.181452
45000,number,0.00,-1.6632,0,2,2025-12-30T05:37:59.181470
45000,article_gender,50.00,-0.0000,1,2,2025-12-30T05:37:59.181483
45000,collocation,0.00,0.0000,0,2,2025-12-30T05:37:59.181495
46000,gender,100.00,0.9666,4,4,2025-12-30T07:19:38.905255
46000,number,0.00,-0.3667,0,2,2025-12-30T07:19:38.905270
46000,article_gender,50.00,-0.0000,1,2,2025-12-30T07:19:38.905281
46000,collocation,50.00,0.0000,1,2,2025-12-30T07:19:38.905291
47000,gender,100.00,2.0494,4,4,2025-12-30T08:59:16.620489
47000,number,0.00,-2.7641,0,2,2025-12-30T08:59:16.620507
47000,article_gender,100.00,0.0000,2,2,2025-12-30T08:59:16.620520
47000,collocation,50.00,-0.0000,1,2,2025-12-30T08:59:16.620531
48000,gender,100.00,6.1272,4,4,2025-12-30T10:41:32.878880
48000,number,0.00,-4.4336,0,2,2025-12-30T10:41:32.878897
48000,article_gender,100.00,0.0000,2,2,2025-12-30T10:41:32.878910
48000,collocation,50.00,-0.0000,1,2,2025-12-30T10:41:32.878921
49000,gender,100.00,3.6249,4,4,2025-12-30T12:22:52.978800
49000,number,0.00,-2.8711,0,2,2025-12-30T12:22:52.978817
49000,article_gender,50.00,0.0000,1,2,2025-12-30T12:22:52.978830
49000,collocation,50.00,-0.0000,1,2,2025-12-30T12:22:52.978841
50000,gender,100.00,1.8721,4,4,2025-12-30T14:02:25.467015
50000,number,0.00,-1.0426,0,2,2025-12-30T14:02:25.467030
50000,article_gender,100.00,0.0000,2,2,2025-12-30T14:02:25.467041
50000,collocation,50.00,-0.0000,1,2,2025-12-30T14:02:25.467051
51000,gender,100.00,5.5345,4,4,2025-12-30T15:40:32.204935
51000,number,0.00,-4.4257,0,2,2025-12-30T15:40:32.204951
51000,article_gender,50.00,0.0000,1,2,2025-12-30T15:40:32.204962
51000,collocation,0.00,-0.0000,0,2,2025-12-30T15:40:32.204972
52000,gender,100.00,4.9946,4,4,2025-12-30T17:17:39.221002
52000,number,0.00,-5.7049,0,2,2025-12-30T17:17:39.221019
52000,article_gender,100.00,0.0000,2,2,2025-12-30T17:17:39.221032
52000,collocation,0.00,-0.0000,0,2,2025-12-30T17:17:39.221043
53000,gender,100.00,0.0021,4,4,2025-12-30T18:55:10.230320
53000,number,0.00,-0.0000,0,2,2025-12-30T18:55:10.230339
53000,article_gender,50.00,-0.0000,1,2,2025-12-30T18:55:10.230351
53000,collocation,50.00,0.0000,1,2,2025-12-30T18:55:10.230362
54000,gender,100.00,2.8054,4,4,2025-12-30T20:38:09.176785
54000,number,0.00,-0.9623,0,2,2025-12-30T20:38:09.176800
54000,article_gender,50.00,0.0000,1,2,2025-12-30T20:38:09.176811
54000,collocation,50.00,-0.0000,1,2,2025-12-30T20:38:09.176821
55000,gender,100.00,4.0338,4,4,2025-12-30T22:22:39.596234
55000,number,0.00,-4.6679,0,2,2025-12-30T22:22:39.596248
55000,article_gender,50.00,0.0000,1,2,2025-12-30T22:22:39.596259
55000,collocation,50.00,-0.0000,1,2,2025-12-30T22:22:39.596268
56000,gender,100.00,4.8679,4,4,2025-12-31T00:05:45.644512
56000,number,0.00,-5.4762,0,2,2025-12-31T00:05:45.644526
56000,article_gender,50.00,0.0000,1,2,2025-12-31T00:05:45.644536
56000,collocation,50.00,-0.0000,1,2,2025-12-31T00:05:45.644546
57000,gender,100.00,2.7272,4,4,2025-12-31T01:47:29.770154
57000,number,0.00,-1.6847,0,2,2025-12-31T01:47:29.770168
57000,article_gender,50.00,0.0000,1,2,2025-12-31T01:47:29.770179
57000,collocation,0.00,-0.0000,0,2,2025-12-31T01:47:29.770188
58000,gender,100.00,8.6633,4,4,2025-12-31T03:27:23.632367
58000,number,0.00,-13.7161,0,2,2025-12-31T03:27:23.632385
58000,article_gender,50.00,0.0000,1,2,2025-12-31T03:27:23.632397
58000,collocation,50.00,-0.0000,1,2,2025-12-31T03:27:23.632408
59000,gender,100.00,2.5244,4,4,2025-12-31T05:07:45.194791
59000,number,0.00,-1.5906,0,2,2025-12-31T05:07:45.194805
59000,article_gender,50.00,0.0000,1,2,2025-12-31T05:07:45.194815
59000,collocation,50.00,-0.0000,1,2,2025-12-31T05:07:45.194824
60000,gender,100.00,3.5204,4,4,2025-12-31T06:47:17.688414
60000,number,0.00,-6.5384,0,2,2025-12-31T06:47:17.688429
60000,article_gender,50.00,0.0000,1,2,2025-12-31T06:47:17.688440
60000,collocation,50.00,-0.0000,1,2,2025-12-31T06:47:17.688449
61000,gender,100.00,5.2595,4,4,2025-12-31T08:28:50.438971
61000,number,0.00,-8.2849,0,2,2025-12-31T08:28:50.438989
61000,article_gender,50.00,0.0000,1,2,2025-12-31T08:28:50.439002
61000,collocation,100.00,0.0000,2,2,2025-12-31T08:28:50.439013
62000,gender,100.00,6.6138,4,4,2025-12-31T10:09:20.867385
62000,number,0.00,-4.5049,0,2,2025-12-31T10:09:20.867403
62000,article_gender,50.00,0.0007,1,2,2025-12-31T10:09:20.867415
62000,collocation,50.00,-0.0000,1,2,2025-12-31T10:09:20.867427
63000,gender,100.00,5.0072,4,4,2025-12-31T11:50:54.770055
63000,number,0.00,-0.8837,0,2,2025-12-31T11:50:54.770070
63000,article_gender,50.00,0.0000,1,2,2025-12-31T11:50:54.770080
63000,collocation,50.00,0.0000,1,2,2025-12-31T11:50:54.770090
64000,gender,100.00,5.6649,4,4,2025-12-31T13:29:52.614682
64000,number,0.00,-6.8187,0,2,2025-12-31T13:29:52.614696
64000,article_gender,50.00,0.0000,1,2,2025-12-31T13:29:52.614707
64000,collocation,50.00,-0.0000,1,2,2025-12-31T13:29:52.614716
65000,gender,100.00,2.9535,4,4,2025-12-31T15:08:19.509886
65000,number,0.00,-4.3347,0,2,2025-12-31T15:08:19.509904
65000,article_gender,50.00,0.0000,1,2,2025-12-31T15:08:19.509916
65000,collocation,50.00,-0.0000,1,2,2025-12-31T15:08:19.509925
66000,gender,100.00,4.0343,4,4,2025-12-31T16:47:05.824828
66000,number,0.00,-3.7823,0,2,2025-12-31T16:47:05.824848
66000,article_gender,50.00,-0.0000,1,2,2025-12-31T16:47:05.824863
66000,collocation,50.00,-0.0000,1,2,2025-12-31T16:47:05.824878
67000,gender,100.00,5.0630,4,4,2025-12-31T18:24:26.462024
67000,number,0.00,-5.8603,0,2,2025-12-31T18:24:26.462039
67000,article_gender,50.00,-0.0000,1,2,2025-12-31T18:24:26.462050
67000,collocation,50.00,-0.0000,1,2,2025-12-31T18:24:26.462059
