step,loss,ppl,grammar_acc,grammar_lr,timestamp
126000,4.649725,104.56,1.0000,2.2679,2026-01-01T10:31:48.297153
126500,4.443959,85.11,,,2026-01-01T10:34:52.467384
127000,4.734637,113.82,,,2026-01-01T10:37:51.373513
127000,4.734637,113.82,1.0000,2.5268,2026-01-01T10:37:51.472527
127500,4.469462,87.31,,,2026-01-01T10:40:55.351618
128000,4.356001,77.94,,,2026-01-01T10:43:54.323238
128000,4.356001,77.94,1.0000,3.5292,2026-01-01T10:43:54.433546
128500,4.457969,86.31,,,2026-01-01T10:46:58.952143
129000,4.753592,116.00,,,2026-01-01T10:49:58.141530
129000,4.753592,116.00,1.0000,3.1716,2026-01-01T10:49:58.268924
129500,4.527733,92.55,,,2026-01-01T10:53:02.667025
130000,4.481411,88.36,,,2026-01-01T10:56:01.648423
130000,4.481411,88.36,1.0000,2.8472,2026-01-01T10:56:01.767126
130500,4.538773,93.58,,,2026-01-01T10:59:06.197512
131000,4.408206,82.12,,,2026-01-01T11:02:05.215635
131000,4.408206,82.12,1.0000,2.5620,2026-01-01T11:02:05.334190
131500,4.455605,86.11,,,2026-01-01T11:05:09.106928
132000,4.672148,106.93,,,2026-01-01T11:08:07.998507
132000,4.672148,106.93,1.0000,2.5650,2026-01-01T11:08:08.098504
132500,3.767011,43.25,,,2026-01-01T11:11:12.375391
133000,4.260014,70.81,,,2026-01-01T11:14:11.336651
133000,4.260014,70.81,1.0000,3.1007,2026-01-01T11:14:11.472390
133500,4.527193,92.50,,,2026-01-01T11:17:16.018650
134000,4.147270,63.26,,,2026-01-01T11:20:15.010823
134000,4.147270,63.26,1.0000,3.0891,2026-01-01T11:20:15.116569
134500,4.046554,57.20,,,2026-01-01T11:23:19.470955
135000,4.529479,92.71,,,2026-01-01T11:26:18.154053
135000,4.529479,92.71,1.0000,3.5580,2026-01-01T11:26:18.281576
135500,4.316667,74.94,,,2026-01-01T11:29:22.906821
136000,4.411620,82.40,,,2026-01-01T11:32:21.915841
136000,4.411620,82.40,1.0000,2.1280,2026-01-01T11:32:22.046296
136500,4.600070,99.49,,,2026-01-01T11:35:26.427421
137000,4.328190,75.81,,,2026-01-01T11:38:25.315801
137000,4.328190,75.81,1.0000,2.8582,2026-01-01T11:38:25.439742
137500,4.207208,67.17,,,2026-01-01T11:41:30.031419
138000,4.442308,84.97,,,2026-01-01T11:44:29.021333
138000,4.442308,84.97,1.0000,2.5805,2026-01-01T11:44:29.130274
138500,4.504968,90.47,,,2026-01-01T11:47:33.244939
139000,4.217626,67.87,,,2026-01-01T11:50:32.016511
139000,4.217626,67.87,1.0000,2.3072,2026-01-01T11:50:32.135404
139500,4.433181,84.20,,,2026-01-01T11:53:35.942911
140000,4.605517,100.03,,,2026-01-01T11:56:34.879774
140000,4.605517,100.03,1.0000,2.9592,2026-01-01T11:56:34.981819
140500,4.334475,76.28,,,2026-01-01T11:59:38.814561
141000,4.325858,75.63,,,2026-01-01T12:02:37.549104
